cod-IBGE,nome,UF,cod-munic-IBGE,creation,cod-lex
1200013,Acrelândia,AC,00013,,100
1100015,Alta Floresta D'Oeste,RO,00015,,102
1100023,Ariquemes,RO,00023,,104
1400027,Amajari,RR,00027,,106
1300029,Alvarães,AM,00029,,108
1100031,Cabixi,RO,00031,,110
4300034,Aceguá,RS,00034,,112
1100049,Cacoal,RO,00049,,114
1400050,Alto Alegre,RR,00050,,116
5200050,Abadia de Goiás,GO,00050,,118
4200051,Abdon Batista,SC,00051,,120
2200053,Acauã,PI,00053,,122
1200054,Assis Brasil,AC,00054,,124
2600054,Abreu e Lima,PE,00054,,126
1600055,Serra do Navio,AP,00055,,128
2100055,Açailândia,MA,00055,,130
1100056,Cerejeiras,RO,00056,,132
4300059,Água Santa,RS,00059,,134
1300060,Amaturá,AM,00060,,136
1100064,Colorado do Oeste,RO,00064,,138
1100072,Corumbiara,RO,00072,,140
1100080,Costa Marques,RO,00080,,142
1300086,Anamã,AM,00086,,144
1100098,Espigão D'Oeste,RO,00098,,146
1400100,Boa Vista,RR,00100,,148
2800100,Amparo de São Francisco,SE,00100,,150
3300100,Angra dos Reis,RJ,00100,,152
5200100,Abadiânia,GO,00100,,154
2300101,Abaiara,CE,00101,,156
4200101,Abelardo Luz,SC,00101,,158
1300102,Anori,AM,00102,,160
2700102,Água Branca,AL,00102,,162
3200102,Afonso Cláudio,ES,00102,,164
5100102,Acorizal,MT,00102,,166
2200103,Agricolândia,PI,00103,,168
4100103,Abatiá,PR,00103,,170
1200104,Brasiléia,AC,00104,,172
2600104,Afogados da Ingazeira,PE,00104,,174
3100104,Abadia dos Dourados,MG,00104,,176
1600105,Amapá,AP,00105,,178
2100105,Afonso Cunha,MA,00105,,180
3500105,Adamantina,SP,00105,,182
1100106,Guajará-Mirim,RO,00106,,184
2500106,Água Branca,PB,00106,,186
1500107,Abaetetuba,PA,00107,,188
2900108,Abaíra,BA,00108,,190
5300108,Brasília,DF,00108,,192
2400109,Acari,RN,00109,,194
4300109,Agudo,RS,00109,,196
1100114,Jaru,RO,00114,,198
1100122,Ji-Paraná,RO,00122,,200
1100130,Machadinho D'Oeste,RO,00130,,202
1500131,Abel Figueiredo,PA,00131,,204
5200134,Acreúna,GO,00134,,206
3200136,Águia Branca,ES,00136,,208
1200138,Bujari,AC,00138,,210
1300144,Apuí,AM,00144,,212
1100148,Nova Brasilândia D'Oeste,RO,00148,,214
2300150,Acarape,CE,00150,,216
1600154,Pedra Branca do Amapari,AP,00154,,218
2100154,Água Doce do Maranhão,MA,00154,,220
1100155,Ouro Preto do Oeste,RO,00155,,222
1400159,Bonfim,RR,00159,,224
3300159,Aperibé,RJ,00159,,226
5200159,Adelândia,GO,00159,,228
3200169,Água Doce do Norte,ES,00169,,230
1400175,Cantá,RR,00175,,232
5200175,Água Fria de Goiás,GO,00175,,234
1200179,Capixaba,AC,00179,,236
1100189,Pimenta Bueno,RO,00189,,238
2300200,Acaraú,CE,00200,,240
4200200,Agrolândia,SC,00200,,242
1300201,Atalaia do Norte,AM,00201,,244
2700201,Anadia,AL,00201,,246
3200201,Alegre,ES,00201,,248
5100201,Água Boa,MT,00201,,250
2200202,Água Branca,PI,00202,,252
4100202,Adrianópolis,PR,00202,,254
1200203,Cruzeiro do Sul,AC,00203,,256
2600203,Afrânio,PE,00203,,258
3100203,Abaeté,MG,00203,,260
5000203,Água Clara,MS,00203,,262
1600204,Calçoene,AP,00204,,264
2100204,Alcântara,MA,00204,,266
3500204,Adolfo,SP,00204,,268
1100205,Porto Velho,RO,00205,,270
2500205,Aguiar,PB,00205,,272
1500206,Acará,PA,00206,,274
2900207,Abaré,BA,00207,,276
2400208,Açu,RN,00208,,278
4300208,Ajuricaba,RS,00208,,280
1400209,Caracaraí,RR,00209,,282
